defId,name,faction,type,cost,offers,rowBuys,offRowRecruits,fastPlays,buyRate,acquiringPlayerGames,acquiringWinRate,avgFirstBuyRound,impactDelta,impactP,flagged
additri_gaiamancer,"Additri, Gaiamancer",Undergrowth,Champion,5,1197,972,16,0,0.8120,988,0.5526,7.87,0.1032,0.00000,1
aetherbreaker,"Aetherbreaker",Wraethe,Mercenary,4,2355,2134,22,1457,0.9062,2028,0.5720,9.48,0.1443,0.00000,1
anomaly_cleric,"Anomaly Cleric",Order,Ally,5,1231,678,11,122,0.5508,689,0.5907,8.58,0.1310,0.00000,1
arach_devotees,"Arach Devotees",Undergrowth,Ally,2,3562,3402,34,253,0.9551,3030,0.5053,5.91,-0.0043,0.74709,0
axia,"Axia",Homodeus,Champion,7,1196,611,15,0,0.5109,626,0.5799,10.18,0.1252,0.00000,1
breaker,"Breaker",Aion,Ally,6,1126,944,15,0,0.8384,959,0.6361,8.52,0.2354,0.00000,1
brute,"Brute",Aion,Ally,3,2273,2101,25,163,0.9243,2006,0.5543,6.27,0.0958,0.00000,1
cache_warden,"Cache Warden",Order,Mercenary,2,2351,2270,22,1681,0.9655,2148,0.5382,6.81,0.0742,0.00000,1
carnivorous_vine,"Carnivorous Vine",Undergrowth,Mercenary,4,2365,2264,22,1161,0.9573,2176,0.5432,7.40,0.1022,0.00000,1
cinder_scars,"Cinder Scars",Wraethe,Mercenary,2,3481,3410,37,2664,0.9796,3026,0.5079,6.64,0.0197,0.14435,0
cloud_oracles_sos,"Cloud Oracles",Order,Ally,2,3613,3252,44,569,0.9001,2916,0.4945,6.42,0.0034,0.80127,0
command_seer,"Command Seer",Order,Ally,4,2420,921,23,52,0.3806,919,0.4820,8.16,-0.0105,0.56971,0
cryptofist_monk,"Cryptofist Monk",Order,Ally,5,2387,1152,24,164,0.4826,1124,0.5294,10.13,0.0466,0.00687,0
dash,"Dash",Aion,Ally,2,2444,2322,25,127,0.9501,2201,0.5225,5.96,0.0261,0.08784,0
data_heretic,"Data Heretic",Order,Mercenary,3,3603,3482,34,1706,0.9664,3092,0.5330,6.37,0.0878,0.00000,1
drakonarius,"Drakonarius",Homodeus,Champion,6,1200,515,15,0,0.4292,530,0.5642,9.92,0.0956,0.00005,1
duplication_fabricator,"Duplication Fabricator",Order,Ally,1,2376,2313,27,119,0.9735,2179,0.5470,6.09,0.0788,0.00000,1
evokatus,"Evokatus",Homodeus,Champion,4,2337,2051,20,0,0.8776,1944,0.4933,7.08,-0.0108,0.48699,0
fao_cutul,"Fao Cu'tul, The Formless",Wraethe,Champion,4,1248,1037,16,0,0.8309,1053,0.5157,7.91,0.0372,0.06032,0
ferrata_guard,"Ferrata Guard",Homodeus,Champion,4,2402,1430,23,0,0.5953,1375,0.4655,7.54,-0.0539,0.00091,1
fungal_hermit,"Fungal Hermit",Undergrowth,Mercenary,3,2453,2320,28,1687,0.9458,2207,0.5496,8.00,0.1101,0.00000,1
furrowing_elemental,"Furrowing Elemental",Undergrowth,Ally,5,2384,1826,23,253,0.7659,1728,0.5266,9.03,0.0431,0.00583,0
g_48,"G-48",Homodeus,Champion,4,1145,871,12,0,0.7607,883,0.4315,7.60,-0.1071,0.00000,1
general_decurion,"General Decurion",Homodeus,Champion,7,1165,99,11,0,0.0850,110,0.6727,12.69,0.2464,0.00000,1
ghostwillow_avenger,"Ghostwillow Avenger",Undergrowth,Mercenary,4,1219,1103,11,643,0.9048,1114,0.5512,8.81,0.0957,0.00000,1
