defId,name,faction,type,cost,offers,rowBuys,offRowRecruits,fastPlays,buyRate,acquiringPlayerGames,acquiringWinRate,avgFirstBuyRound,impactDelta,impactP,flagged
additri_gaiamancer,"Additri, Gaiamancer",Undergrowth,Champion,5,8185,7417,233,0,0.9062,7650,0.5441,8.29,0.0645,0.00000,1
aegis_archivist,"Aegis Archivist",Order,Champion,4,8084,7827,230,0,0.9682,8057,0.5799,7.60,0.1404,0.00000,1
aetherbreaker,"Aetherbreaker",Wraethe,Mercenary,4,16746,10453,488,10231,0.6242,10100,0.6474,11.43,0.2120,0.00000,1
anomaly_cleric,"Anomaly Cleric",Order,Ally,5,8345,7990,229,994,0.9575,8219,0.6254,8.19,0.2196,0.00000,1
arach_devotees,"Arach Devotees",Undergrowth,Ally,2,24969,24552,763,3135,0.9833,21556,0.5447,7.14,0.0886,0.00000,1
axia_duel,"Axia",Homodeus,Champion,8,8382,6334,218,0,0.7557,6552,0.6973,10.84,0.3024,0.00000,1
bleak_communion,"Bleak Communion",Wraethe,Mercenary,3,16578,16179,536,10328,0.9759,15460,0.5743,7.42,0.1453,0.00000,1
breaker,"Breaker",Aion,Ally,6,8082,7714,239,533,0.9545,7953,0.6379,8.30,0.2366,0.00000,1
brute,"Brute",Aion,Ally,3,16532,16126,534,1834,0.9754,15451,0.5358,7.38,0.0582,0.00000,1
bulwark_chanter,"Bulwark Chanter",Order,Ally,4,16319,15783,511,1730,0.9672,15017,0.5618,7.63,0.1154,0.00000,1
cache_warden,"Cache Warden",Order,Mercenary,2,16583,16309,560,10272,0.9835,15531,0.5966,7.31,0.1814,0.00000,1
carnivorous_vine,"Carnivorous Vine",Undergrowth,Mercenary,4,16499,15333,510,12838,0.9293,14689,0.5768,8.69,0.1379,0.00000,1
century_forge,"Century Forge",Homodeus,Ally,5,16698,8972,502,4568,0.5373,8625,0.6438,11.62,0.1999,0.00000,1
cinder_scars_duel,"Cinder Scars",Wraethe,Mercenary,2,41196,40498,1314,25851,0.9831,30942,0.5458,6.69,0.1146,0.00000,1
cloud_oracles_sos,"Cloud Oracles",Order,Ally,2,24705,24327,783,3281,0.9847,21368,0.5386,7.08,0.0725,0.00000,1
comet,"Comet",Aion,Ally,14,8296,182,265,0,0.0219,447,0.8568,12.19,0.4907,0.00000,1
command_seer_duel,"Command Seer",Order,Ally,4,16552,12330,526,3457,0.7449,11807,0.5898,10.52,0.1352,0.00000,1
cryptofist_monk,"Cryptofist Monk",Order,Ally,5,16681,12701,485,4531,0.7614,12095,0.6140,10.68,0.1717,0.00000,1
dash_duel,"Dash",Aion,Ally,2,16436,16188,484,1805,0.9849,15357,0.5879,7.30,0.1644,0.00000,1
data_heretic_duel,"Data Heretic",Order,Mercenary,4,24795,24041,773,15484,0.9696,21213,0.5709,7.36,0.1479,0.00000,1
doomstalker,"Doomstalker",Wraethe,Mercenary,5,16628,5291,505,5278,0.3182,5322,0.6697,12.27,0.2059,0.00000,1
drakonarius,"Drakonarius",Homodeus,Champion,6,8167,6513,243,0,0.7975,6756,0.6192,9.98,0.1715,0.00000,1
duplication_fabricator_duel,"Duplication Fabricator",Order,Ally,3,16452,16075,530,1798,0.9771,15374,0.5885,7.43,0.1668,0.00000,1
evokatus_duel,"Evokatus",Homodeus,Champion,4,16609,15842,453,0,0.9538,15137,0.5505,7.67,0.0912,0.00000,1
fao_cutul,"Fao Cu'tul, The Formless",Wraethe,Champion,4,8210,7670,237,0,0.9342,7907,0.6179,9.28,0.2006,0.00000,1
ferrata_guard_duel,"Ferrata Guard",Homodeus,Champion,4,16307,15402,437,0,0.9445,14612,0.5327,7.56,0.0563,0.00000,1
fungal_hermit,"Fungal Hermit",Undergrowth,Mercenary,3,16634,16280,510,10366,0.9787,15575,0.5627,7.39,0.1151,0.00000,1
furrowing_elemental_duel,"Furrowing Elemental",Undergrowth,Ally,5,16510,15007,499,3273,0.9090,14265,0.6001,8.97,0.1610,0.00000,1
g_48,"G-48",Homodeus,Champion,4,8378,7116,229,0,0.8494,7345,0.5306,9.27,0.0442,0.00000,0
general_decurion,"General Decurion",Homodeus,Champion,7,8141,7171,240,0,0.8809,7411,0.6409,9.87,0.2273,0.00000,1
ghostwillow_avenger,"Ghostwillow Avenger",Undergrowth,Mercenary,4,8262,7368,253,7262,0.8918,7621,0.7418,11.22,0.4297,0.00000,1
giga_source_adept,"Giga, Source Adept",Order,Champion,2,8284,8151,236,0,0.9839,8387,0.6521,7.57,0.2745,0.00000,1
grand_architect,"The Grand Architect",Order,Mercenary,7,8404,7849,215,6739,0.9340,8064,0.7192,9.20,0.3982,0.00000,1
grim_tutor,"Grim Tutor",Wraethe,Mercenary,3,16519,15936,544,11805,0.9647,15207,0.5394,7.86,0.0603,0.00000,1
hounds_of_volos_duel,"Hounds of Volos",Undergrowth,Mercenary,3,16569,15788,512,12361,0.9529,15058,0.5426,8.06,0.0689,0.00000,1
index_of_futures,"Index of Futures",Order,Ally,3,16368,15826,527,2594,0.9669,15138,0.5356,7.64,0.0561,0.00000,1
j_chord_duel,"J-Chord",Aion,Champion,3,8083,7920,236,0,0.9798,8156,0.5917,7.48,0.1569,0.00000,1
