defId,name,faction,type,cost,offers,rowBuys,offRowRecruits,fastPlays,buyRate,acquiringPlayerGames,acquiringWinRate,avgFirstBuyRound,impactDelta,impactP,flagged
additri_gaiamancer,"Additri, Gaiamancer",Undergrowth,Champion,5,311,215,6,0,0.6913,221,0.6471,10.63,0.2657,0.00000,1
aetherbreaker,"Aetherbreaker",Wraethe,Mercenary,4,613,547,8,303,0.8923,522,0.5747,9.82,0.1265,0.00001,1
anomaly_cleric,"Anomaly Cleric",Order,Ally,5,304,184,4,20,0.6053,188,0.5691,9.85,0.1583,0.00010,1
arach_devotees,"Arach Devotees",Undergrowth,Ally,2,920,879,6,60,0.9554,778,0.5746,7.14,0.1658,0.00000,1
axia,"Axia",Homodeus,Champion,7,310,155,3,0,0.5000,158,0.6899,11.97,0.2912,0.00000,1
breaker,"Breaker",Aion,Ally,6,301,217,5,0,0.7209,222,0.6261,10.45,0.2447,0.00000,1
brute,"Brute",Aion,Ally,3,596,562,4,67,0.9430,532,0.5508,7.54,0.1075,0.00036,1
cache_warden,"Cache Warden",Order,Mercenary,2,619,600,3,391,0.9693,563,0.5409,7.32,0.0853,0.00386,1
carnivorous_vine,"Carnivorous Vine",Undergrowth,Mercenary,4,608,529,5,220,0.8701,508,0.5906,8.56,0.1987,0.00000,1
cinder_scars,"Cinder Scars",Wraethe,Mercenary,2,959,927,9,562,0.9666,792,0.5152,6.93,0.0184,0.47313,0
cloud_oracles_sos,"Cloud Oracles",Order,Ally,2,928,886,5,71,0.9547,779,0.5257,6.95,0.0489,0.06299,0
command_seer,"Command Seer",Order,Ally,4,643,368,4,15,0.5723,351,0.5356,10.38,0.0715,0.02013,1
cryptofist_monk,"Cryptofist Monk",Order,Ally,5,607,349,7,58,0.5750,331,0.5483,11.08,0.0517,0.10126,0
dash,"Dash",Aion,Ally,2,605,581,11,44,0.9603,548,0.5365,7.34,0.0563,0.05993,1
data_heretic,"Data Heretic",Order,Mercenary,3,939,895,12,404,0.9531,785,0.5210,7.38,0.0560,0.02998,1
drakonarius,"Drakonarius",Homodeus,Champion,6,295,156,3,0,0.5288,159,0.6541,11.36,0.2385,0.00000,1
duplication_fabricator,"Duplication Fabricator",Order,Ally,1,625,608,8,22,0.9728,586,0.5666,6.86,0.1362,0.00000,1
